id,planned_departure,planned_arrival,real_departure,real_arrival,id_train,id_route,id_driver
1,2021-06-03 03:58:48.729028,2021-06-03 08:39:48.018794,2021-06-03 06:47:48.729028,2021-06-03 10:35:48.018794,155,914,296
2,2021-03-19 14:25:19.489613,2021-03-19 19:07:46.585238,2021-03-19 15:01:19.489613,2021-03-19 21:29:46.585238,564,582,279
3,2021-06-26 22:50:47.217743,2021-06-27 00:52:16.433340,2021-06-27 01:38:47.217743,2021-06-27 02:19:16.433340,221,65,74
4,2021-02-15 18:40:13.371748,2021-02-15 22:13:57.465108,2021-02-15 20:18:13.371748,2021-02-15 22:52:57.465108,365,235,18
5,2021-03-04 14:39:12.988446,2021-03-04 18:58:44.392144,2021-03-04 17:06:12.988446,2021-03-04 21:43:44.392144,254,305,562
6,2021-03-22 10:14:16.724245,2021-03-22 17:58:15.335578,2021-03-22 12:27:16.724245,2021-03-22 20:04:15.335578,532,615,38
7,2021-04-19 13:00:55.974479,2021-04-19 16:07:21.446513,2021-04-19 15:36:55.974479,2021-04-19 16:23:21.446513,228,764,77
8,2021-03-05 14:09:08.659600,2021-03-05 21:40:20.584478,2021-03-05 16:35:08.659600,2021-03-06 00:14:20.584478,283,489,79
9,2021-05-14 16:05:25.558207,2021-05-14 19:12:18.146449,2021-05-14 17:32:25.558207,2021-05-14 20:14:18.146449,547,236,323
10,2021-02-06 17:47:31.926332,2021-02-07 00:44:44.080528,2021-02-06 20:03:31.926332,2021-02-07 01:08:44.080528,519,547,821
11,2021-06-02 04:59:03.614692,2021-06-02 12:22:08.251867,2021-06-02 06:00:03.614692,2021-06-02 15:21:08.251867,270,122,188
12,2021-06-24 03:40:18.725286,2021-06-24 08:05:05.743498,2021-06-24 04:06:18.725286,2021-06-24 10:32:05.743498,559,903,669
13,2021-03-11 00:32:24.080825,2021-03-11 04:41:43.656797,2021-03-11 02:17:24.080825,2021-03-11 07:11:43.656797,413,446,548
14,2021-02-15 16:52:45.190862,2021-02-15 19:16:31.739498,2021-02-15 18:17:45.190862,2021-02-15 19:16:31.739498,319,672,787
15,2021-04-26 22:03:32.477841,2021-04-27 00:12:44.439813,2021-04-27 00:52:32.477841,2021-04-27 00:59:44.439813,670,671,139
16,2021-05-21 09:54:14.872297,2021-05-21 13:57:20.832792,2021-05-21 11:02:14.872297,2021-05-21 14:44:20.832792,440,3,735
17,2021-03-31 03:21:37.404444,2021-03-31 05:30:08.759587,2021-03-31 04:49:37.404444,2021-03-31 05:30:08.759587,225,890,626
18,2021-03-21 08:16:14.577086,2021-03-21 12:35:40.014892,2021-03-21 09:58:14.577086,2021-03-21 13:23:40.014892,191,423,598
19,2021-02-04 10:04:55.004290,2021-02-04 17:04:37.925682,2021-02-04 10:04:55.004290,2021-02-04 18:28:37.925682,563,174,570
20,2021-06-20 13:03:26.136363,2021-06-20 17:13:41.309226,2021-06-20 13:17:26.136363,2021-06-20 18:45:41.309226,902,99,503
21,2021-06-03 06:29:50.300475,2021-06-03 11:47:55.424545,2021-06-03 06:29:50.300475,2021-06-03 11:49:55.424545,757,674,136
22,2021-03-09 22:49:54.478465,2021-03-10 05:14:11.804835,2021-03-09 23:57:54.478465,2021-03-10 06:29:11.804835,31,435,524
23,2021-06-19 10:36:17.778978,2021-06-19 17:45:30.780365,2021-06-19 12:18:17.778978,2021-06-19 17:45:30.780365,806,644,403
24,2021-04-23 16:02:08.202517,2021-04-23 22:23:40.307332,2021-04-23 17:14:08.202517,2021-04-23 22:47:40.307332,501,604,165
25,2021-05-24 07:42:13.248279,2021-05-24 13:58:23.111604,2021-05-24 07:53:13.248279,2021-05-24 15:23:23.111604,826,54,51
26,2021-01-26 23:31:16.748254,2021-01-27 04:40:06.510029,2021-01-27 02:20:16.748254,2021-01-27 04:46:06.510029,194,869,818
27,2021-06-27 01:50:34.579507,2021-06-27 07:12:09.739184,2021-06-27 02:28:34.579507,2021-06-27 08:41:09.739184,108,228,857
28,2021-03-07 14:13:54.433504,2021-03-07 16:49:43.356015,2021-03-07 14:13:54.433504,2021-03-07 16:49:43.356015,176,419,817
29,2021-02-16 13:44:32.561078,2021-02-16 21:13:21.087267,2021-02-16 15:36:32.561078,2021-02-16 21:23:21.087267,605,580,754
30,2021-01-03 05:31:57.978057,2021-01-03 10:41:59.302117,2021-01-03 05:31:57.978057,2021-01-03 11:11:59.302117,711,569,465
31,2021-02-11 13:52:22.593457,2021-02-11 18:24:54.565735,2021-02-11 13:52:22.593457,2021-02-11 18:24:54.565735,341,720,307
32,2021-03-15 09:26:02.333718,2021-03-15 14:02:29.768970,2021-03-15 09:26:02.333718,2021-03-15 15:37:29.768970,295,602,518
33,2021-04-13 13:05:44.974194,2021-04-13 16:35:10.336214,2021-04-13 13:43:44.974194,2021-04-13 16:54:10.336214,122,310,809
34,2021-04-16 03:37:25.819711,2021-04-16 08:33:16.973538,2021-04-16 05:13:25.819711,2021-04-16 08:58:16.973538,873,765,1
35,2021-05-31 13:00:29.398839,2021-05-31 19:37:42.394295,2021-05-31 13:00:29.398839,2021-05-31 21:17:42.394295,359,602,119
36,2021-03-01 03:40:46.595128,2021-03-01 08:41:07.267793,2021-03-01 05:59:46.595128,2021-03-01 09:30:07.267793,803,473,241
37,2021-03-21 16:30:11.641259,2021-03-21 20:40:57.864163,2021-03-21 16:30:11.641259,2021-03-21 21:32:57.864163,654,91,169
38,2021-04-11 18:53:59.491922,2021-04-12 01:15:53.096107,2021-04-11 21:20:59.491922,2021-04-12 01:59:53.096107,47,908,808
39,2021-02-02 12:49:51.768027,2021-02-02 17:40:14.186990,2021-02-02 15:15:51.768027,2021-02-02 19:35:14.186990,312,366,50
40,2021-06-16 18:17:57.490217,2021-06-17 00:31:56.406027,2021-06-16 18:17:57.490217,2021-06-17 02:24:56.406027,155,378,412
41,2021-04-22 13:10:01.993387,2021-04-22 19:47:23.058419,2021-04-22 13:10:01.993387,2021-04-22 22:33:23.058419,480,129,611
42,2021-06-09 16:49:33.392911,2021-06-09 22:18:51.050179,2021-06-09 16:50:33.392911,2021-06-09 23:34:51.050179,169,626,105
43,2021-01-18 00:31:42.221596,2021-01-18 04:31:13.800290,2021-01-18 02:04:42.221596,2021-01-18 06:19:13.800290,610,805,43
44,2021-01-25 09:21:08.759833,2021-01-25 13:00:14.852007,2021-01-25 10:34:08.759833,2021-01-25 14:49:14.852007,608,438,875
